frame,id,x,y,cid,theta
0,0,491.1288833554582,300.0926618628824,0,182.6087618035061
0,1,921.7650852327048,626.8515729105197,1,188.69529572302173
0,2,690.0230943471462,474.27550690755487,2,245.93011092425348
0,3,178.0274094764973,476.2596815132052,3,227.88809173285796
0,4,489.8447537270847,714.4321559324367,4,24.511032850940648
0,5,446.9595144333956,432.84484974779974,5,194.94207247487898
0,6,1111.6679857955385,592.6939855407383,6,211.68407645997462
0,7,554.0544636401767,345.94696770253904,0,155.65165764225844
0,8,868.4190466823701,706.4572191441756,1,105.51919871629428
0,9,709.3377449841186,418.7477271015313,2,180.31578204722132
0,10,239.06851923060628,493.28742260150466,3,166.62930277642567
0,11,431.51902167638167,670.9641710746428,4,11.122199669423477
0,12,521.2114486997639,493.38090996871307,5,229.00953892407298
0,13,1109.1811697979986,578.9200579856927,6,8.252504819146655
0,14,513.6309017934899,294.306973534839,0,233.35929992001317
0,15,919.3832870588226,704.0112715653415,1,174.739760315606
0,16,728.4506173338033,467.4091199235524,2,170.28867499665333
0,17,222.8978140360326,434.62402867346486,3,221.23765198316437
0,18,486.2259507058487,689.2261325082569,4,340.8991201643842
0,19,343.3738754302662,336.42847465910364,5,181.71477586957567
0,20,1077.7968935531576,581.7795539565727,6,34.216815282861944
0,21,524.9389340935635,248.84604652434084,0,197.25783599478967
0,22,916.0042625213038,739.5055706550004,1,189.36413566740987
0,23,742.075684139747,471.88093842232195,2,222.93594645499073
0,24,273.93537464348043,511.85202784078587,3,257.32409302909093
0,25,594.3319083734923,707.9682273091385,4,314.23717854714886
0,26,432.0908623760462,377.4695177543279,5,232.03449865756568
0,27,1060.1570150060254,470.8924709511655,6,304.5511259417314
0,28,532.0339170480056,311.8864403898157,0,225.58306200793527
0,29,934.9883041846336,601.7670175692524,1,191.5989489546444
0,30,707.6338279143255,424.4957456455521,2,180.33850420127098
0,31,276.0064416350654,479.53830107381026,3,266.03886524114256
0,32,439.4842685619763,639.7083256698453,4,264.7156906908789
0,33,414.55056066773716,499.5904494727801,5,130.28476398306495
0,34,1117.1742809240409,648.886728099168,6,226.66633827979192
0,35,506.7074796567524,298.4511462443295,0,173.94087095848042
0,36,874.8071712005959,665.9475989417363,1,234.75436831748283
0,37,626.9938933174033,543.0342893600141,2,181.78241337703963
0,38,232.1244767636715,529.7473365249807,3,177.72399380106052
0,39,568.8249285555019,675.7868926778906,4,50.98171253413279
0,40,377.933617657518,387.0040526672553,5,252.42401664526997
0,41,1147.7765114906417,542.2020207561164,6,92.48944009526934
0,42,554.7559986250166,331.29545808564524,0,144.71564718142852
0,43,978.2544625481286,670.9265415809298,1,196.13860103546344
0,44,685.6618326517416,566.2249261204254,2,161.50796708144455
0,45,244.51291087447828,523.8491478731803,3,255.7943029683824
0,46,497.189775814625,687.3024619679327,4,66.0509355177679
0,47,366.96188548523264,403.56414260036547,5,242.0284017784216
0,48,1100.5108673885793,495.45411733492335,6,251.83635678971783
0,49,542.0308819915839,307.53284786729614,0,103.14654345216714
0,50,883.5474170978652,699.8024701605048,1,200.24220508394959
0,51,747.8225931120712,498.50381140075456,2,319.23775416990514
0,52,248.62308851195036,608.690053816661,3,242.1344153100524
0,53,518.9008252618399,714.1308749204393,4,323.38295883893966
0,54,444.665827398547,488.53909000660803,5,240.98719338035374
0,55,1102.0130102822275,644.5061874301081,6,95.81400272611255
0,56,510.2801904814431,299.07436176122343,0,188.36849380361255
0,57,935.5172783765847,724.1453194760575,1,193.27837493283388
0,58,695.4575597564476,563.1424075560936,2,163.35763827767104
0,59,270.77137448666286,531.4554147898826,3,242.819903221167
0,60,555.6303974548264,687.9165559931256,4,322.0985463431741
0,61,490.83254728492346,362.74251672257986,5,155.35153724430452
0,62,1086.8941811671996,589.7783557290913,6,190.05048484697747
0,63,528.9152096932944,292.27087771248773,0,139.96500079858524
0,64,981.5197266041098,683.0038864395478,1,246.71188324741655
0,65,747.9459049452453,522.4829257791223,2,145.28558445031862
0,66,231.07311471816908,438.45879536568367,3,240.87913797068614
0,67,428.1543904200467,628.5372985275577,4,89.50974095491483
0,68,452.6129656244549,366.6146702906502,5,267.61001635063906
0,69,1084.4101401657308,593.8913641558585,6,337.6290879275207
