time,animal_id,x,y,distance,average_speed,average_acceleration,direction
667,511,85.88,333.39,0,0,0,0
668,511,86.96,331.74,0,0,0,0
669,511,87.99,330.1,0,0,0,0
670,511,89.0,328.47,0,0,0,0
671,511,90.04,326.87,0,0,0,0
672,511,91.14,325.23,0,0,0,0
673,511,92.17,323.71,0,0,0,0
674,511,93.23,322.1,0,0,0,0
675,511,94.3,320.59,0,0,0,0
676,511,95.33,319.05,0,0,0,0
677,511,96.37,317.51,0,0,0,0
678,511,97.4,315.92,0,0,0,0
679,511,98.35,314.44,0,0,0,0
680,511,99.28,312.97,0,0,0,0
681,511,100.17,311.54,0,0,0,0
682,511,100.86,310.28,0,0,0,0
683,511,101.43,309.07,0,0,0,0
684,511,101.94,307.97,0,0,0,0
685,511,102.32,307.0,0,0,0,0
686,511,102.69,306.13,0,0,0,0
687,511,102.96,305.34,0,0,0,0
688,511,103.27,304.59,0,0,0,0
689,511,103.6,303.79,0,0,0,0
690,511,103.99,302.83,0,0,0,0
691,511,104.43,301.79,0,0,0,0
692,511,105.02,300.53,0,0,0,0
693,511,105.77,298.92,0,0,0,0
694,511,106.82,296.81,0,0,0,0
695,511,108.19,294.13,0,0,0,0
696,511,109.84,290.93,0,0,0,0
697,511,111.84,287.25,0,0,0,0
698,511,113.96,283.46,0,0,0,0
699,511,116.21,279.55,0,0,0,0
700,511,118.73,275.44,0,0,0,0
701,511,121.44,271.17,0,0,0,0
702,511,124.34,266.83,0,0,0,0
703,511,127.39,262.34,0,0,0,0
704,511,130.4,257.83,0,0,0,0
705,511,133.33,253.42,0,0,0,0
706,511,136.19,248.97,0,0,0,0
707,511,138.91,244.53,0,0,0,0
708,511,141.42,240.2,0,0,0,0
709,511,143.83,235.78,0,0,0,0
710,511,146.17,231.4,0,0,0,0
711,511,148.45,227.15,0,0,0,0
712,511,150.63,223.18,0,0,0,0
713,511,152.94,219.24,0,0,0,0
714,511,155.44,215.26,0,0,0,0
715,511,158.02,211.3,0,0,0,0
716,511,160.8,207.39,0,0,0,0
717,511,163.57,203.57,0,0,0,0
718,511,166.27,199.93,0,0,0,0
719,511,168.93,196.46,0,0,0,0
720,511,171.43,193.13,0,0,0,0
721,511,173.69,190.09,0,0,0,0
722,511,175.77,187.22,0,0,0,0
723,511,177.84,184.37,0,0,0,0
724,511,179.88,181.64,0,0,0,0
725,511,181.87,178.98,0,0,0,0
726,511,183.89,176.4,0,0,0,0
727,511,185.85,173.9,0,0,0,0
728,511,187.8,171.56,0,0,0,0
729,511,189.71,169.35,0,0,0,0
730,511,191.54,167.41,0,0,0,0
731,511,193.13,165.7,0,0,0,0
732,511,194.6,164.24,0,0,0,0
733,511,195.96,162.99,0,0,0,0
734,511,197.3,161.81,0,0,0,0
735,511,198.51,160.84,0,0,0,0
736,511,199.68,159.91,0,0,0,0
737,511,200.8,159.18,0,0,0,0
738,511,201.83,158.52,0,0,0,0
739,511,202.85,157.96,0,0,0,0
740,511,203.84,157.39,0,0,0,0
741,511,204.86,156.79,0,0,0,0
742,511,205.98,156.17,0,0,0,0
743,511,207.12,155.47,0,0,0,0
744,511,208.33,154.7,0,0,0,0
745,511,209.53,153.83,0,0,0,0
746,511,210.79,152.97,0,0,0,0
747,511,212.06,152.08,0,0,0,0
748,511,213.33,151.13,0,0,0,0
749,511,214.59,150.2,0,0,0,0
750,511,215.9,149.19,0,0,0,0
751,511,217.27,148.11,0,0,0,0
752,511,218.71,146.99,0,0,0,0
753,511,220.21,145.78,0,0,0,0
754,511,221.97,144.4,0,0,0,0
755,511,224.1,142.77,0,0,0,0
756,511,226.61,141.03,0,0,0,0
757,511,229.27,139.12,0,0,0,0
758,511,232.2,137.13,0,0,0,0
759,511,235.3,135.08,0,0,0,0
760,511,238.86,132.86,0,0,0,0
761,511,242.8,130.49,0,0,0,0
762,511,247.11,127.96,0,0,0,0
763,511,251.78,125.3,0,0,0,0
764,511,256.77,122.51,0,0,0,0
765,511,261.84,119.6,0,0,0,0
766,511,266.93,116.75,0,0,0,0
767,511,271.76,114.01,0,0,0,0
768,511,276.47,111.36,0,0,0,0
769,511,281.01,108.79,0,0,0,0
770,511,285.46,106.36,0,0,0,0
771,511,289.66,104.08,0,0,0,0
772,511,293.9,101.96,0,0,0,0
773,511,298.33,99.86,0,0,0,0
774,511,302.95,97.79,0,0,0,0
775,511,307.6,95.78,0,0,0,0
776,511,312.2,93.9,0,0,0,0
777,511,316.65,92.2,0,0,0,0
778,511,320.79,90.72,0,0,0,0
779,511,324.32,89.45,0,0,0,0
780,511,327.27,88.41,0,0,0,0
781,511,329.56,87.68,0,0,0,0
782,511,331.35,87.06,0,0,0,0
783,511,332.79,86.53,0,0,0,0
784,511,334.1,85.96,0,0,0,0
785,511,335.42,85.43,0,0,0,0
786,511,336.87,84.87,0,0,0,0
787,511,338.34,84.27,0,0,0,0
788,511,339.97,83.68,0,0,0,0
789,511,341.82,83.08,0,0,0,0
790,511,344.02,82.51,0,0,0,0
791,511,346.48,82.01,0,0,0,0
792,511,349.24,81.49,0,0,0,0
793,511,352.13,80.97,0,0,0,0
794,511,355.25,80.51,0,0,0,0
795,511,358.43,80.11,0,0,0,0
796,511,361.56,79.78,0,0,0,0
797,511,364.57,79.52,0,0,0,0
798,511,367.46,79.27,0,0,0,0
799,511,370.18,79.18,0,0,0,0
800,511,372.58,79.19,0,0,0,0
801,511,374.6,79.28,0,0,0,0
802,511,376.51,79.41,0,0,0,0
803,511,378.28,79.55,0,0,0,0
804,511,379.92,79.71,0,0,0,0
805,511,381.46,79.84,0,0,0,0
806,511,382.93,79.86,0,0,0,0
807,511,384.21,79.89,0,0,0,0
808,511,385.36,79.89,0,0,0,0
809,511,386.35,79.82,0,0,0,0
810,511,387.25,79.75,0,0,0,0
811,511,388.04,79.68,0,0,0,0
812,511,388.71,79.6,0,0,0,0
813,511,389.44,79.54,0,0,0,0
814,511,390.05,79.55,0,0,0,0
815,511,390.65,79.61,0,0,0,0
816,511,391.26,79.72,0,0,0,0
817,511,391.9,79.88,0,0,0,0
818,511,392.52,80.04,0,0,0,0
819,511,393.15,80.22,0,0,0,0
820,511,393.82,80.39,0,0,0,0
821,511,394.51,80.48,0,0,0,0
822,511,395.22,80.56,0,0,0,0
823,511,395.93,80.62,0,0,0,0
824,511,396.64,80.72,0,0,0,0
825,511,397.33,80.81,0,0,0,0
826,511,397.99,80.88,0,0,0,0
827,511,398.7,80.92,0,0,0,0
828,511,399.33,80.99,0,0,0,0
829,511,399.94,81.06,0,0,0,0
830,511,400.61,81.16,0,0,0,0
831,511,401.25,81.16,0,0,0,0
832,511,401.85,81.14,0,0,0,0
833,511,402.42,81.18,0,0,0,0
834,511,403.02,81.15,0,0,0,0
835,511,403.62,81.1,0,0,0,0
836,511,404.21,81.09,0,0,0,0
837,511,404.75,81.09,0,0,0,0
838,511,405.32,81.09,0,0,0,0
839,511,405.88,81.1,0,0,0,0
840,511,406.45,81.11,0,0,0,0
841,511,407.01,81.17,0,0,0,0
842,511,407.62,81.2,0,0,0,0
843,511,408.19,81.21,0,0,0,0
844,511,408.95,81.2,0,0,0,0
845,511,409.84,81.09,0,0,0,0
846,511,411.1,81.05,0,0,0,0
847,511,412.67,80.98,0,0,0,0
848,511,414.49,80.86,0,0,0,0
849,511,416.77,80.77,0,0,0,0
850,511,419.58,80.64,0,0,0,0
851,511,422.86,80.51,0,0,0,0
852,511,426.65,80.38,0,0,0,0
853,511,430.81,80.19,0,0,0,0
854,511,435.28,80.01,0,0,0,0
855,511,439.82,79.82,0,0,0,0
856,511,444.25,79.55,0,0,0,0
857,511,448.4,79.23,0,0,0,0
858,511,452.21,78.87,0,0,0,0
859,511,455.61,78.43,0,0,0,0
860,511,458.62,78.01,0,0,0,0
861,511,461.02,77.53,0,0,0,0
862,511,462.96,77.04,0,0,0,0
863,511,464.7,76.58,0,0,0,0
864,511,466.35,76.03,0,0,0,0
865,511,467.91,75.59,0,0,0,0
866,511,469.45,75.11,0,0,0,0
867,511,471.22,74.59,0,0,0,0
868,511,473.37,74.1,0,0,0,0
869,511,475.96,73.59,0,0,0,0
870,511,478.99,73.05,0,0,0,0
871,511,482.36,72.45,0,0,0,0
872,511,485.91,71.76,0,0,0,0
873,511,489.74,71.01,0,0,0,0
874,511,493.81,70.35,0,0,0,0
875,511,498.1,69.82,0,0,0,0
876,511,502.6,69.48,0,0,0,0
877,511,507.18,69.4,0,0,0,0
878,511,511.8,69.58,0,0,0,0
879,511,516.29,70.07,0,0,0,0
880,511,520.48,70.69,0,0,0,0
881,511,524.52,71.38,0,0,0,0
882,511,528.46,72.19,0,0,0,0
883,511,532.33,73.18,0,0,0,0
884,511,536.11,74.35,0,0,0,0
885,511,539.64,75.56,0,0,0,0
886,511,543.02,76.81,0,0,0,0
887,511,546.34,78.16,0,0,0,0
888,511,549.55,79.65,0,0,0,0
889,511,552.67,81.24,0,0,0,0
890,511,555.65,82.87,0,0,0,0
891,511,558.46,84.61,0,0,0,0
892,511,561.08,86.33,0,0,0,0
893,511,563.54,87.97,0,0,0,0
894,511,565.63,89.45,0,0,0,0
895,511,567.46,90.78,0,0,0,0
896,511,569.08,92.02,0,0,0,0
897,511,570.6,93.31,0,0,0,0
898,511,572.09,94.61,0,0,0,0
899,511,573.49,95.86,0,0,0,0
900,511,574.89,97.12,0,0,0,0
901,511,576.22,98.38,0,0,0,0
902,511,577.49,99.62,0,0,0,0
903,511,578.71,100.89,0,0,0,0
904,511,579.9,102.18,0,0,0,0
905,511,581.08,103.59,0,0,0,0
906,511,582.33,104.98,0,0,0,0
907,511,583.6,106.35,0,0,0,0
908,511,584.82,107.72,0,0,0,0
909,511,585.95,109.0,0,0,0,0
910,511,587.04,110.24,0,0,0,0
911,511,588.14,111.48,0,0,0,0
912,511,589.19,112.6,0,0,0,0
913,511,590.18,113.65,0,0,0,0
914,511,591.1,114.62,0,0,0,0
915,511,591.99,115.47,0,0,0,0
916,511,592.77,116.29,0,0,0,0
917,511,593.42,117.11,0,0,0,0
918,511,594.03,117.84,0,0,0,0
919,511,594.58,118.6,0,0,0,0
920,511,595.17,119.25,0,0,0,0
921,511,595.7,119.94,0,0,0,0
922,511,596.23,120.59,0,0,0,0
923,511,596.72,121.21,0,0,0,0
924,511,597.34,121.83,0,0,0,0
925,511,598.2,122.61,0,0,0,0
926,511,599.28,123.54,0,0,0,0
927,511,600.54,124.72,0,0,0,0
928,511,601.98,126.09,0,0,0,0
929,511,603.54,127.67,0,0,0,0
930,511,605.14,129.38,0,0,0,0
931,511,606.76,131.21,0,0,0,0
932,511,608.37,133.09,0,0,0,0
933,511,609.87,135.02,0,0,0,0
934,511,611.25,136.91,0,0,0,0
935,511,612.39,138.69,0,0,0,0
936,511,613.31,140.22,0,0,0,0
937,511,614.09,141.63,0,0,0,0
938,511,614.76,142.84,0,0,0,0
939,511,615.42,144.01,0,0,0,0
940,511,615.98,145.14,0,0,0,0
941,511,616.48,146.16,0,0,0,0
942,511,616.94,147.13,0,0,0,0
943,511,617.4,148.09,0,0,0,0
944,511,617.9,149.01,0,0,0,0
945,511,618.4,150.02,0,0,0,0
946,511,618.95,151.05,0,0,0,0
947,511,619.48,152.11,0,0,0,0
948,511,620.0,153.17,0,0,0,0
949,511,620.52,154.12,0,0,0,0
950,511,621.05,155.07,0,0,0,0
951,511,621.52,155.97,0,0,0,0
952,511,621.96,156.83,0,0,0,0
953,511,622.42,157.68,0,0,0,0
954,511,622.9,158.47,0,0,0,0
955,511,623.52,159.23,0,0,0,0
956,511,624.33,159.98,0,0,0,0
957,511,625.3,160.74,0,0,0,0
958,511,626.43,161.47,0,0,0,0
959,511,627.79,162.28,0,0,0,0
960,511,629.46,163.11,0,0,0,0
961,511,631.39,163.92,0,0,0,0
962,511,633.64,164.78,0,0,0,0
963,511,636.09,165.56,0,0,0,0
964,511,638.52,166.3,0,0,0,0
965,511,640.79,166.91,0,0,0,0
966,511,642.96,167.46,0,0,0,0
967,511,644.81,167.92,0,0,0,0
968,511,646.4,168.2,0,0,0,0
969,511,647.72,168.38,0,0,0,0
970,511,648.71,168.44,0,0,0,0
971,511,649.32,168.37,0,0,0,0
972,511,649.62,168.25,0,0,0,0
973,511,649.75,168.1,0,0,0,0
974,511,649.82,167.92,0,0,0,0
975,511,649.88,167.75,0,0,0,0
976,511,649.91,167.61,0,0,0,0
977,511,649.85,167.21,0,0,0,0
978,511,649.87,166.68,0,0,0,0
979,511,650.05,166.4,0,0,0,0
980,511,650.32,166.61,0,0,0,0
981,511,650.65,167.33,0,0,0,0
982,511,651.02,168.59,0,0,0,0
983,511,651.33,170.35,0,0,0,0
984,511,651.51,172.52,0,0,0,0
985,511,651.65,175.29,0,0,0,0
986,511,651.82,178.7,0,0,0,0
987,511,652.14,182.55,0,0,0,0
988,511,652.54,186.89,0,0,0,0
989,511,653.07,191.43,0,0,0,0
990,511,653.66,195.89,0,0,0,0
991,511,654.43,200.05,0,0,0,0
992,511,655.48,204.01,0,0,0,0
993,511,656.65,207.88,0,0,0,0
994,511,657.77,211.55,0,0,0,0
995,511,658.91,214.82,0,0,0,0
996,511,659.92,217.74,0,0,0,0
997,511,660.76,220.15,0,0,0,0
998,511,661.42,222.03,0,0,0,0
999,511,662.0,223.73,0,0,0,0
